Date,Description,Raw Match
2024-09-30,"2 nd   Regular   Meeting   –",""
2024-10-03,"2 nd   Regular   Meeting   –",""
2024-10-10,"2 nd   Regular   Meeting   –",""
2024-10-14,"2 nd   Regular   Meeting   –",""
2024-10-20,"2 nd   Regular   Meeting   –",""
2024-10-22,"2 nd   Regular   Meeting   –",""
2024-10-23,"2 nd   Regular   Meeting   –",""
2024-10-31,"2 nd   Regular Meeting   –",""
2024-11-05,"2 nd   Regular   Meeting   –",""
2024-11-30,"Ends:   –",""
2024-12-03,"2 nd   Regular   Meeting   –",""
2024-12-05,"Regular   Meeting   –",""
2024-12-07,"1 ST   SEMESTER   UNIVERSITY   COURSEWORK   ASSESSMENT   WEEK  Begins:   –",""
2024-12-15,"2 nd   Regular   Meeting   –",""
2025-01-06,"3 rd   Regular   Meeting   –",""
2025-01-12,"3 rd   Regular   Meeting   –",""
2025-01-14,"3 rd   Regular   Meeting   –",""
2025-01-16,"3 rd   Regular   Meeting   –   Mon day",""
2025-01-20,"15  3 rd   Regular   Meeting   –",""
2025-01-21,"3 rd   Regular   Meeting   –",""
2025-02-03,"Ends:   –",""
2025-02-04,"3 rd   Regular   Meeting   –",""
2025-02-10,"3 rd   Regular   Meeting   –",""
2025-02-27,"INTER - SEMESTER   BREAK   -   EXCEPT   FOR   MCHAS  Begins:   –",""
2025-02-28,"2 nd   Regular Meeting   –",""
2025-03-05,"Regular   Meeting   –",""
2025-03-09,"2 nd   Regular Meeting   –",""
2025-03-13,"2 nd   Regular Meeting   –   Thur sday   0 9   Octo ber 2025  iv)   Engineering and Technology   -   EERM  1 st   Regular Meeting   –",""
2025-03-17,"2 nd   Regular Meeting   –",""
2025-03-19,"3 rd   Regular   Meeting   –",""
2025-03-31,"c)   1 st   UDSM Best Workers Selection Process University Level  Begins:   –",""
2025-04-01,"Ends:   –",""
2025-04-03,"b)   1 st   UDSM   Best Workers Selection   P rocess at   Colleges, Schools, Institutes and  Directorates  Begins:   –",""
2025-04-05,"Ends:   –",""
2025-04-06,"26  1 1 .   PUBLIC HOLIDAY  Maulid Day   –",""
2025-04-07,"4 th   Regular   Meeting   –",""
2025-04-08,"Ends:   –",""
2025-04-09,"4 th   Regular   Meeting   –",""
2025-04-10,"4 th   Regular   Meeting   –",""
2025-04-13,"4 th   Regular   Meeting   –",""
2025-04-15,"4 th   Regular   Meeting   –",""
2025-04-16,"4 th   Regular   Meeting   –",""
2025-05-01,"4 th   Regular Meeting   –",""
